InjectionPressure,MeltTemp,CoolingTime,PackingPressure,PartWeight
872,240,22,527,51.384174327085994
822,247,24,525,51.09214728462585
868,231,19,454,50.93271063847025
863,245,24,532,51.867874413400614
783,254,24,464,50.5114465261271
757,249,24,574,51.162084239850664
789,233,19,468,50.80867957305012
804,256,15,541,50.43031962421844
876,239,23,540,51.30653776141101
777,239,15,578,51.32977380029992
779,238,16,495,50.62917362475946
798,240,19,503,50.739586428914244
799,246,16,500,50.72921140001649
819,256,22,581,51.676641983459874
821,236,15,586,51.40019949936377
864,255,18,558,51.443174844055754
892,244,24,597,52.315681366140424
788,241,18,593,50.5375513313663
860,242,17,517,51.12060562894011
828,238,16,483,51.02683452761695
792,249,22,507,50.8209966063998
814,249,20,531,51.313845544505305
826,252,22,543,51.29781814279453
832,251,17,456,50.54443547593481
883,253,15,462,51.004844289061964
828,258,15,460,50.91599433470635
765,239,22,553,51.0682663161426
801,242,22,523,50.66488207469608
870,244,21,577,51.7935756371373
873,235,23,578,51.52068730862156
896,231,18,453,51.096867111766116
839,236,20,587,51.391236680983305
789,243,21,491,51.778372826063496
832,252,22,565,51.19658379763587
798,252,24,579,50.697716813560056
862,231,18,493,50.98323335525913
868,238,23,511,52.27854440879037
790,247,18,461,50.904533446338455
751,255,20,581,50.51968223004274
810,240,19,461,51.00780734582207
754,232,20,535,50.051414747155185
855,259,19,555,51.23862027915636
843,230,15,556,50.70716487413526
801,254,15,542,50.85963479177916
853,239,23,536,51.5625264342517
868,256,21,540,51.35264303744938
789,233,17,510,50.45064160523923
874,250,24,497,51.97921419177
822,246,19,456,50.99042751864496
869,258,24,481,51.73321380705841
750,232,20,593,50.152552357928755
753,244,15,493,50.726159798282055
806,243,20,587,51.57353152431585
873,240,23,594,52.10141091971119
759,251,23,470,50.32011130566098
851,247,18,475,50.552300792777906
809,238,23,582,51.31852405198646
763,248,18,579,51.27883904994267
786,255,18,541,50.57678924882596
848,256,21,527,51.5394795570702
780,238,20,547,50.86002008554616
764,254,18,539,50.773779564808116
880,233,15,499,51.71981159902648
794,247,18,577,51.292295719321736
865,242,24,537,51.70441603673129
765,235,22,581,50.90320739676463
832,248,20,522,50.65385179576167
815,252,21,478,51.25997207794993
824,258,20,453,51.384233557681775
814,250,18,527,51.17966551123016
763,240,20,456,50.47134387863455
886,244,22,594,51.99968184723523
763,235,19,508,50.759476445576375
890,231,24,554,51.98810425353785
839,253,24,596,51.44244006739623
866,247,19,529,51.58200537190437
829,258,23,522,51.91764597135423
872,233,19,528,51.385061917542664
807,259,21,519,51.079170670293124
810,245,15,485,51.19683573724517
896,251,23,563,52.00942084905508
790,237,21,494,51.07654455709068
750,250,24,559,50.6946671863358
885,242,22,525,51.78275935493303
874,239,16,485,51.0168219370806
854,248,21,578,51.574268440463
786,238,15,541,50.61034904575564
816,256,21,585,51.344561800093174
768,257,18,456,50.61228658819517
794,253,19,531,50.65127485309919
890,245,17,479,51.564602324495716
860,253,20,504,51.93871241548136
779,238,23,473,50.12729853676684
786,237,24,517,51.073037404467705
869,254,15,562,51.49570882290555
831,231,22,521,51.58225618601128
837,259,15,469,50.779261071154615
834,244,15,578,51.60588584595756
831,255,16,501,51.36970542127427
761,232,15,578,50.84667768189616
873,255,23,539,51.425787578628416
814,237,18,524,50.537743474000685
872,238,24,511,51.85671960130569
898,237,18,569,51.811706294194245
789,247,23,464,50.95158683971136
769,246,15,535,50.70192878533655
876,239,22,469,51.87245481935447
848,255,15,578,52.19400891580229
846,254,22,586,51.590715981485495
847,238,15,526,51.19124718639855
824,245,17,476,50.69777004867168
849,232,21,541,51.1905821406318
753,259,18,565,50.61145631369958
815,241,17,559,51.52232305092906
882,240,15,477,50.90988227270561
817,237,19,498,50.83633858129362
871,240,21,453,51.27826581131846
871,239,17,523,51.56092632839953
864,246,15,594,51.67529992088296
767,257,20,534,50.73800069341296
843,238,18,461,51.078301092780684
770,240,19,484,50.47765761167566
810,251,23,453,51.02248038143512
866,233,20,489,51.44545377255945
779,231,23,456,50.5506035667629
833,257,23,531,51.45932624281162
824,230,15,450,50.297340089846735
804,232,21,567,50.71117889142104
850,249,19,523,51.70780706342876
751,238,19,507,50.30720011475371
889,250,17,505,51.647263100353
820,254,19,595,51.322783667578605
801,230,19,513,50.710627791660436
868,249,15,594,51.98869530316581
855,245,22,557,51.53880699856083
799,249,18,599,51.023871436387324
774,256,21,546,50.74371493543332
814,246,17,503,51.02465064486278
865,230,17,582,52.018471178625425
843,235,17,507,51.116678821090204
836,239,19,510,50.78221215447235
878,244,22,483,51.6117151747615
853,250,22,500,51.6251526747867
853,249,19,592,51.34773818724268
843,245,15,541,51.38644531223833
891,258,20,479,51.86183085038872
871,252,18,487,51.424560043876994
807,242,20,598,51.15626509008833
846,239,24,467,51.67796086674371
842,243,15,516,51.02550855706355
809,231,17,560,50.63540440907695
786,253,20,588,51.080012260578954
894,243,23,503,51.425250574539646
885,235,20,590,52.28750125670317
756,242,21,522,50.60557572950786
763,250,16,461,50.60648910393307
799,259,18,571,51.204926549439406
870,255,19,479,51.678666941194706
794,231,17,542,50.74624769349884
824,246,24,471,51.177947298731866
794,231,18,507,50.908637235424
834,231,16,472,51.071804403728756
821,240,23,577,51.27321264360885
