InjectionPressure,MeltTemp,CoolingTime,PackingPressure,PartWeight
815,236,24,515,50.89494945833306
842,257,16,501,50.77019428952341
832,247,17,528,51.271464036007295
860,258,24,587,51.98726540908401
818,252,22,482,51.101552589505914
803,243,21,461,50.614604809932764
783,235,19,453,50.35895799771855
886,255,16,455,51.609303410976906
826,250,24,596,51.315417381091024
856,236,15,465,51.245829906769174
765,259,18,581,50.84272957332195
856,239,18,576,51.548839856671194
815,233,16,501,51.081437337911495
766,256,15,495,50.63183563725558
891,253,15,481,52.200300044717935
778,244,22,549,50.7749211308933
774,239,21,468,50.2131390252822
826,252,20,481,50.96524947681104
784,237,23,580,50.623216918560736
858,240,18,595,51.77654618477999
851,234,17,550,52.08559365285722
801,249,22,557,51.27867543666114
855,239,19,479,51.036944950827284
827,242,15,455,50.54109079853614
839,251,17,474,51.11455062227407
817,239,23,502,50.583317402916116
778,250,18,570,51.007255359109266
842,256,22,583,51.944615330100405
759,258,22,478,50.51946406272633
795,234,24,591,51.52168700011962
856,239,15,596,51.44583261157877
813,240,16,471,50.66874163371255
777,257,22,587,50.41635973927537
824,245,20,513,50.524473754410074
849,245,16,486,51.36110669264215
832,239,22,459,51.265103415413265
833,242,22,542,51.369391037198945
845,243,15,587,51.603921742494876
812,242,21,467,50.532573420726216
898,235,23,450,51.321907886390264
834,230,15,564,51.51116253988112
819,247,15,481,50.92728228872969
872,259,20,512,51.47314674201536
799,258,17,550,50.30757566417259
855,231,15,579,51.937939124530175
832,254,19,521,51.18197196552257
810,255,19,585,50.92250281499956
873,230,18,513,51.46605684863603
801,251,16,501,51.09917192488281
823,254,18,545,51.45867219269171
778,238,16,537,50.55142407658147
869,259,18,494,51.397753556277415
837,241,22,462,50.97839293319999
879,246,21,457,51.49820175061069
858,237,18,539,51.38191708735484
776,253,22,488,51.019355642663676
815,230,21,474,50.47063044688836
831,245,23,450,51.17511687293402
754,240,19,593,50.85980911663166
811,239,18,559,51.19084082100594
846,245,15,581,51.537157673030066
891,248,16,578,52.005621309926994
831,232,17,570,50.93057265452169
833,237,21,485,51.273769765920406
884,259,24,495,51.95809054151862
806,255,17,598,51.106325877872315
814,233,15,466,50.37195985919927
794,249,18,571,50.66829037516486
801,231,24,465,50.38027963096014
767,253,18,512,50.67188421691272
827,231,24,464,51.02378000844288
784,242,16,452,50.47731082746604
866,239,15,588,52.00285136945853
808,235,15,463,50.48564946844017
892,250,24,536,52.23150229467493
839,251,20,590,51.697302057186974
779,259,18,517,50.658974914370006
873,234,19,469,51.81957063707959
867,245,22,584,51.33988509107344
768,252,22,585,50.78063677058437
864,255,19,562,51.303257463375374
847,254,20,504,51.57919689519543
775,253,19,493,50.58566943004211
756,235,18,551,50.29779780399168
823,243,15,512,50.40586009861513
843,242,17,532,51.816202679583256
800,242,21,518,50.92059644761328
783,237,18,552,51.142999152368
873,244,22,594,51.7993238519255
817,255,20,540,51.62199188011475
873,255,18,466,51.66236349935788
863,230,17,580,51.64215471198007
871,237,21,501,51.6081453465403
899,252,24,581,52.2349575527989
801,257,20,588,50.982672297013806
778,253,16,575,51.07757323378717
806,250,19,497,50.613832095479324
761,240,22,519,51.08512090756911
804,230,17,590,51.19766232401304
837,258,17,551,51.3632334447396
846,248,24,494,51.23256786480028
894,250,24,523,51.70250137451801
795,235,20,461,50.611193694118896
794,253,23,482,51.0218030560703
758,241,16,510,50.022113404286614
833,256,21,526,51.12014981759644
823,249,20,542,51.34650322191593
775,239,15,458,50.27549947325332
852,255,21,534,51.69560379357687
836,232,17,589,51.83734989645126
857,235,18,512,51.47016035177314
875,240,24,547,51.65321984819425
764,259,23,466,50.85581685961353
755,242,16,490,49.6690569726865
752,239,19,585,51.10066363436362
805,250,24,556,51.02404527790855
765,236,19,555,50.98542949331164
808,235,19,592,50.37139098836874
817,252,17,521,50.26766480758538
890,257,22,459,51.51423782173553
867,249,21,565,51.63752194092252
884,238,22,567,52.031449969312895
849,248,21,507,51.12399841758294
796,231,19,492,51.052667509779724
834,237,15,454,50.906917865699306
872,241,15,591,51.96912153836901
842,250,20,568,51.64600269648132
785,231,19,579,50.71596482423805
894,236,24,564,51.546292716044576
888,246,18,516,51.417079100184054
789,234,18,589,50.48762218443271
823,236,22,511,50.8857256977534
894,254,22,548,51.65431598542954
822,241,19,578,51.69231508422935
761,250,19,485,50.33619726603642
883,236,22,562,51.438483946257435
759,258,22,491,50.57023149662427
852,233,15,484,51.16742845772649
798,239,21,464,50.88675962892929
852,237,21,598,51.08254206307343
832,248,18,569,51.08600258609449
793,254,15,557,50.94827329620587
887,240,20,532,51.62126187864591
766,240,24,561,50.56500333656028
762,256,22,580,50.37185536373684
832,253,22,483,51.44033472675651
849,232,18,587,51.12790165659907
789,238,23,451,50.29280791765682
858,255,17,563,51.136678950521066
788,244,21,491,50.67317396654548
784,256,20,597,51.236853154944626
805,257,23,505,51.304048329372414
836,256,24,526,51.405098431390876
818,257,23,497,51.4492711905358
791,242,21,513,50.63457183282597
892,244,23,477,51.78312172100414
878,236,22,511,51.97200322481297
754,250,19,524,50.47638271842283
766,235,20,500,50.07846383498229
852,244,17,480,51.16353764119095
824,254,21,529,50.87845686110397
852,236,17,463,50.55882877494552
863,258,23,570,52.1631467777642
842,240,15,506,51.56804343852576
877,234,21,519,51.63899557096345
787,254,24,515,51.0253930220606
855,252,15,511,51.96798371561881
892,235,23,467,51.68692342941464
825,239,19,462,51.202784475567405
772,238,22,588,50.915847588237654
836,247,18,456,51.5396346743602
789,253,21,539,50.66390829322702
862,233,15,481,51.3849687434875
897,235,17,539,52.29526278728442
792,244,20,523,51.327900367637596
822,236,21,480,51.59247119517696
897,234,18,580,52.3908793167726
840,246,16,553,51.2245992895019
764,236,20,503,50.68824401156931
805,240,17,475,50.979721973018165
823,252,21,589,51.770287123125506
821,246,20,529,51.519535786137475
840,254,24,588,51.31441648797727
894,235,22,573,51.94812114044668
777,250,15,478,50.351975279349574
820,240,18,590,51.3851382603044
817,254,19,578,51.1786989825461
824,234,20,577,51.147369234806746
772,259,22,527,50.98148290311638
793,244,21,540,51.20375650538297
882,240,23,464,51.62335965049611
809,241,19,491,50.820487799514666
769,241,19,490,50.501394630143714
760,254,18,578,51.0912820890265
870,252,23,524,52.019981194231626
854,241,19,523,51.09978390447229
880,250,17,562,51.87222159764908
829,240,16,505,51.18479844487012
886,245,15,580,51.508139101162186
793,245,21,564,51.24640368953807
