InjectionPressure,MeltTemp,CoolingTime,PackingPressure,PartWeight
761,243,16,578,50.887860982341856
787,253,17,541,50.73356330256604
790,238,24,472,50.5550390765956
808,234,15,584,51.27548681568312
883,235,16,570,51.821313629634886
813,252,16,518,50.42070931762417
809,243,16,472,50.667849087592295
894,250,19,454,51.97335143744389
844,235,17,466,51.54751266385302
779,245,21,574,50.67765954248651
761,235,23,595,50.45271500279564
853,230,18,477,50.53068987068219
805,250,17,595,50.97285470879793
861,239,21,511,51.15021064254143
794,243,16,585,50.713837819148466
838,259,23,474,51.3513090586568
822,258,21,460,51.83637625355842
809,239,17,545,51.031346381912996
841,236,23,597,51.4709763323943
808,239,22,579,50.90748137399856
770,258,22,586,51.23521739885483
785,251,23,567,51.85315753887029
866,239,22,501,51.7564095008512
780,246,23,462,50.73384351247926
807,237,21,595,51.69936290212058
796,234,17,582,51.24919937653325
774,234,18,598,50.54252503527955
835,233,15,507,50.51021969240234
831,254,20,505,51.66725547348398
859,252,19,504,51.727470055090194
769,239,18,582,50.435704529241676
775,238,19,597,50.74052376149493
797,259,17,547,51.114760011163646
810,247,19,582,50.864858606611435
750,258,18,460,50.36166804612791
821,238,19,557,50.65615540658835
801,234,24,467,50.40264277964672
785,235,22,548,51.13639356277201
791,230,17,497,50.971998982504765
757,240,15,521,49.923469556307516
812,231,17,496,51.69914775472447
799,231,19,546,50.93809874493929
807,241,16,509,50.699566307438765
854,237,24,467,51.561426696072246
785,256,16,575,50.957068717545795
795,232,24,479,50.924507734479974
861,250,17,573,51.70833670685101
889,239,24,552,51.97241695384067
784,251,15,581,50.68725932233316
832,244,16,586,50.945571404450114
836,250,16,497,51.36461333221659
850,250,21,450,50.72378853814727
846,242,21,551,51.42160733415199
772,245,15,553,50.518690141256215
791,243,24,570,50.70207235460689
840,250,15,506,51.248328471395475
874,245,22,462,51.17169043330195
783,256,16,583,50.73061568828124
791,246,16,504,50.53721879732876
807,230,21,580,51.042963076378726
866,235,15,509,51.311186464180224
847,230,23,561,51.040375271430456
813,239,23,552,51.29098974990723
894,256,22,538,52.81267152559615
887,250,24,526,52.0883980192969
801,250,18,516,50.732739182938055
762,236,17,504,49.99326913444136
800,236,20,512,50.751627197357884
858,232,19,575,51.52150587810885
880,235,21,538,51.740844568265835
842,230,22,576,51.75836820820648
805,256,17,567,51.28120506151154
781,236,18,573,51.178349797670506
800,241,17,494,50.251819936181754
789,257,24,559,51.328957977778465
789,235,18,565,50.89259243704961
779,244,15,501,50.22221759836697
762,249,18,547,50.68914537124565
857,248,15,468,51.386461832032296
852,237,21,598,51.592991493094296
854,234,15,472,51.21518210868317
783,231,22,552,51.49502629542051
775,258,24,472,50.56471402618099
758,258,20,562,50.72886405582634
786,240,21,527,51.40603598680916
825,236,18,457,50.7413098584285
823,236,16,483,51.14447981992876
859,257,19,526,51.39556351226634
858,251,23,509,51.46771547518271
752,235,16,507,49.91999738218769
886,254,23,564,51.37885902459024
806,256,20,480,50.529545688988186
862,248,17,526,51.55044601152729
886,249,20,462,51.2009645346954
878,242,21,537,52.11344815554722
809,251,19,599,51.22059972423676
829,235,15,594,50.882655223932936
858,255,19,580,51.53403735311927
806,255,24,511,50.53387899431436
897,248,17,577,52.066319229534685
797,256,22,579,51.39164315759673
866,258,18,489,51.38585250989256
818,259,16,467,50.66238340165569
829,257,16,594,51.840589722172304
844,250,22,483,51.276163210365674
768,248,21,590,50.922663445790285
838,248,22,455,51.89054981401444
862,238,18,530,51.84584695256885
781,238,18,593,50.14572732433015
750,240,18,452,50.3372966803583
801,256,23,537,51.22727457693674
793,232,20,561,50.81622337216542
797,244,19,465,50.40122586201347
798,239,24,580,50.903257732926996
789,237,20,550,50.76037262865943
839,248,18,529,51.31586758639443
881,235,15,556,51.27509904288931
840,244,22,507,51.50775076177781
780,247,23,573,51.336010647089545
836,245,23,499,50.702215516314155
797,251,24,552,50.923454085477594
766,249,18,541,50.85061579638125
885,255,16,592,52.203849195003905
842,236,17,509,50.88219201030973
848,246,20,519,51.18055400252895
769,252,21,577,50.50777116727736
764,239,24,479,50.66951791915652
817,252,19,542,51.370989226140594
754,243,15,468,49.94380974248792
832,235,17,490,51.31295499662205
872,237,15,467,51.103032988543674
762,236,16,483,50.165262895450354
808,258,21,585,50.88819541231993
850,233,17,484,51.08948457662163
750,258,22,460,49.705517152941354
757,253,24,582,51.125536688209344
828,233,20,594,51.32934288817213
897,251,23,550,51.4509457465811
876,253,22,592,51.90611975070248
848,249,20,595,51.589373297282094
879,237,24,508,51.25185803087773
830,231,18,520,51.54322940650658
803,241,23,528,50.5664042370546
855,240,24,499,50.917047893907835
872,246,23,549,51.62152533674541
833,252,21,591,51.48076661499629
759,250,17,480,50.533940760782116
772,246,19,450,50.39522738688119
895,257,16,476,51.40893115222993
869,233,15,490,51.402353708773376
830,256,16,498,50.822602774834685
754,248,19,485,50.357302125629325
754,256,15,455,49.878633903853775
803,235,24,487,50.880000966928144
842,233,23,581,52.01197285813514
798,243,24,540,50.777078962214205
870,255,23,492,51.85615204519125
785,239,15,590,51.04422429752307
838,234,16,501,51.29142826296777
750,234,19,550,50.642971413502856
855,241,17,450,51.27103737909805
767,259,20,549,50.574462267083206
806,239,24,498,50.96473523071514
851,258,21,495,51.00962823896068
781,248,16,475,50.83374531980357
857,238,15,471,50.93781130965543
802,257,15,496,50.279180946557155
878,253,23,487,51.67121509939427
879,242,17,543,51.439835752993275
786,237,18,482,50.76214053688461
791,244,15,566,50.6241653688808
780,255,19,530,50.33260906882374
883,249,22,587,52.55280986184202
839,233,24,463,50.931547709335156
808,236,23,597,51.630324306464594
857,247,24,548,51.85042615411272
780,236,15,500,50.49889878130017
827,250,17,590,51.35564997506993
777,231,16,510,50.55719742110519
774,234,18,596,50.67312937848373
842,253,24,531,51.61415704724963
868,256,20,504,51.403912033249114
784,240,16,540,50.99221494317822
797,259,16,491,51.08971044735263
776,247,23,537,50.53320284067608
774,258,21,527,50.90222046662489
888,245,21,460,51.739680656114835
762,233,16,560,49.99627794258849
758,256,15,452,49.93517027374489
767,241,19,450,50.184844903393
889,251,18,540,51.40109101624742
878,259,21,594,52.04793596032292
828,246,17,541,51.368377017604345
853,230,16,557,51.29212845712409
880,243,16,537,51.84473911090734
851,254,15,490,51.30779142733705
773,247,15,550,50.42841194858474
815,236,20,517,50.84404041657777
811,235,15,546,51.07277047625241
899,243,24,494,51.50048975199101
